    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0002   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
      50          1107     1.2528   1.701E+01   0.0562   0.1000   1.093E-15   9.73694582E-09   3.80533518E-04
     100       1811.88     1.1638   1.159E+01   0.2351   0.1000   7.303E-16  -1.22868365E-06   2.53538150E-02
     150       2341.17     1.1312   1.087E+01   0.2645   0.1000   6.724E-16  -1.05615859E-06   3.44862921E-02
     200       2909.74     1.1908   1.090E+01   0.2932   0.1000   7.398E-16  -8.59470603E-06   3.43333652E-02
     250       3440.11     1.1885   1.088E+01   0.2984   0.1000   7.568E-16   1.80591269E-05   5.18374255E-02
     300       3942.78     1.1445   1.071E+01   0.2974   0.1000   6.673E-16   6.97327180E-05   6.46575282E-02
     350       4454.06     1.1124   9.820E+00   0.3048   0.1000   5.636E-16   6.15510861E-05   7.03558864E-02
     400       4935.44     1.1516   9.850E+00   0.3111   0.1000   6.143E-16   1.15608605E-04   7.40937976E-02
     450          5400     1.1967   9.760E+00   0.3218   0.1000   1.350E-16   1.82639392E-04   8.93569414E-02
     500       5863.76     1.1535   9.468E+00   0.3183   0.1000   6.320E-16   2.00678877E-04   9.71307103E-02
     550       6308.92     1.1575   8.791E+00   0.3321   0.1000   5.748E-16   1.93988290E-04   1.05562540E-01
     600       6720.51     1.1607   8.979E+00   0.3527   0.1000   5.823E-16   1.77623576E-04   1.22924887E-01
     650       7158.55     1.2258   7.880E+00   0.3099   0.1000   5.222E-16   2.21617624E-04   1.29306334E-01
     700       7547.05     1.3808   7.757E+00   0.3256   0.1000   5.033E-16   2.81881212E-04   1.32915457E-01
     750       7966.47     1.1213   8.135E+00   0.3176   0.1000   5.499E-16   2.90512736E-04   1.42124902E-01
     800       8362.45     1.1046   8.403E+00   0.3467   0.1000   5.486E-16   1.31255735E-05   1.56957776E-01
     850       8774.73     1.1286   8.556E+00   0.3658   0.1000   5.958E-16  -5.14192847E-04   1.61179499E-01
     900       9183.29     1.1088   8.000E+00   0.3472   0.1000   7.585E-16  -8.36830434E-04   1.65627406E-01
     950       9585.56     1.1071   7.651E+00   0.3450   0.1000   6.735E-16  -8.11738860E-04   1.75434030E-01
    1000       9985.74     1.1295   8.496E+00   0.3442   0.1000   6.753E-16  -6.19773819E-04   1.82003490E-01
    1050       10374.3     1.1939   7.656E+00   0.2986   0.1000   7.282E-16  -2.93423553E-04   1.85994890E-01
    1100       10777.9     1.2045   8.346E+00   0.3164   0.1000   6.722E-16   2.10594027E-04   1.80925863E-01
    1150       11142.2     1.3300   7.036E+00   0.3136   0.1000   6.644E-16   4.66374754E-04   2.01314174E-01
    1200       11528.5     1.2944   8.057E+00   0.3676   0.1000   6.696E-16   3.29086347E-04   2.27709614E-01
    1250         11915     1.1712   7.167E+00   0.3663   0.1000   6.347E-16  -1.63745559E-04   2.55989424E-01
    1300       12283.5     1.1042   7.661E+00   0.3555   0.1000   7.503E-16  -7.15410171E-04   2.48269109E-01
    1350       12658.5     1.1459   7.156E+00   0.3140   0.1000   7.207E-16  -1.09429080E-03   2.38177824E-01
    1400         13032     1.1083   7.319E+00   0.3672   0.1000   6.679E-16  -1.20561502E-03   2.56279304E-01
    1450       13373.5     1.1097   7.214E+00   0.3851   0.1000   8.188E-16  -1.28224461E-03   2.68777172E-01
    1500       13756.2     1.3141   7.400E+00   0.3593   0.1000   8.166E-16  -1.38099773E-03   2.99394421E-01
    1550         14100     1.1961   7.028E+00   0.3823   0.1000   3.957E-16  -1.32417244E-03   3.01343056E-01
    1600       14449.2     1.1490   6.946E+00   0.3418   0.1000   7.670E-16  -1.18313920E-03   2.70788886E-01
    1650       14819.5     1.1287   7.499E+00   0.3809   0.1000   8.544E-16  -1.07639742E-03   2.73822665E-01
    1700       15196.4     1.2263   7.294E+00   0.3578   0.1000   7.972E-16  -1.23352473E-03   2.96587485E-01
    1750       15548.6     1.1120   7.570E+00   0.3910   0.1000   7.854E-16  -1.50919714E-03   2.93629026E-01
    1800       15940.8     1.1424   8.129E+00   0.4339   0.1000   9.140E-16  -1.70686174E-03   2.91986357E-01
    1850       16333.9     1.1104   8.038E+00   0.3909   0.1000   9.775E-16  -1.72292986E-03   2.83079985E-01
    1900       16704.7     1.1525   7.645E+00   0.3873   0.1000   9.905E-16  -1.58134686E-03   2.82489824E-01
    1950         17060     1.4379   7.101E+00   0.3431   0.1000   6.883E-16  -1.42079478E-03   2.88558532E-01
    2000         17415     1.3976   7.199E+00   0.3802   0.1000   8.205E-16  -1.19555992E-03   3.20623936E-01
    2050       17781.4     1.1672   7.205E+00   0.4191   0.1000   8.145E-16  -9.47483833E-04   3.34549965E-01
    2100       18118.9     1.1389   7.217E+00   0.3446   0.1000   7.945E-16  -9.03362696E-04   3.17434713E-01
    2150       18507.7     1.1184   7.951E+00   0.3624   0.1000   8.322E-16  -7.89986869E-04   3.03206273E-01
    2200       18879.8     1.1180   7.400E+00   0.3835   0.1000   8.884E-16  -7.50102407E-04   3.18973453E-01
    2250         19200     1.1065   7.136E+00   0.4095   0.1000   6.657E-17  -7.92956705E-04   3.44192009E-01
    2300       19541.5     1.1530   7.376E+00   0.4010   0.1000   7.147E-16  -1.08052437E-03   3.57572977E-01
    2350       19879.7     1.2120   6.947E+00   0.3688   0.1000   6.778E-16  -1.49229333E-03   3.76074266E-01
    2400       20245.6     1.2195   6.612E+00   0.3175   0.1000   6.497E-16  -2.08614961E-03   3.82147980E-01
    2450       20564.4     1.2133   6.749E+00   0.3817   0.1000   7.416E-16  -2.74064680E-03   3.90716557E-01
    2500       20909.1     1.1212   6.843E+00   0.3821   0.1000   8.251E-16  -3.45931392E-03   4.08366446E-01
    2550       21256.3     1.1038   7.139E+00   0.4527   0.1000   8.515E-16  -4.03297578E-03   3.99039832E-01
    2600       21595.1     1.1038   4.925E+00   0.3125   0.0703   8.192E-16  -4.33182117E-03   3.86636047E-01
    2601         21600     0.0334   7.019E+00   0.4409   0.1000   5.235E-16  -4.33464165E-03   3.86408536E-01
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0003   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0010   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0011   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0006   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0004   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0004   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0009   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
      50       1107.19     1.3143   1.704E+01   0.0558   0.1000   1.092E-15   2.19783226E-08   4.34069539E-04
     100       1812.08     1.1384   1.182E+01   0.2565   0.1000   7.649E-16   2.93922386E-06   2.56058038E-02
